area,severity_score,historical_area_risk,report_density,accessibility_risk,rainfall_mm,risk_score,risk_label_binary
Yelahanka,0.7752231053635494,0.8230534022394486,0.29092101273369964,0.3007180367348568,0.0,0.6215360156060453,1
Yelahanka,0.5668261240445074,0.8230534022394486,0.5960353904983761,0.5113926991522154,0.0,0.6412211470599196,1
Yelahanka,0.8784950852430609,0.8230534022394486,0.5297490334193713,0.4918197490326262,0.0,0.734112069545674,1
Yelahanka,0.7861539625932858,0.8230534022394486,0.5882957318605923,0.5937012810775466,0.0,0.728784246113235,1
Yelahanka,0.5719674121833287,0.8230534022394486,0.5146700784312891,0.4907066707315411,0.0,0.6236446312319885,1
Yelahanka,0.7606212297871946,0.8230534022394486,0.5429181278084187,0.289369070528431,0.0,0.6651224372383011,1
Yelahanka,0.6708484257869487,0.8230534022394486,0.5908262577681284,0.37027253965075585,0.0,0.6554191021985055,1
Yelahanka,0.8631765333437383,0.8230534022394486,0.3621091829715243,0.3524886058111335,0.0,0.6743229348081179,1
Yelahanka,0.7460106635004535,0.8230534022394486,0.557833498849939,0.5029022165850632,0.0,0.6950217851547404,1
Yelahanka,0.6516612100880526,0.8230534022394486,0.3345330071661522,0.48190678022238637,0.0,0.6141900626692413,1
Yelahanka,0.6441803348398041,0.8230534022394486,0.6230475829929552,0.4020045657436039,0.0,0.6572893393258976,1
Yelahanka,0.9542351246092435,0.8230534022394486,0.504684011924199,0.2794430402791211,0.0,0.7237515727117777,1
Yelahanka,0.7985702868460061,0.8230534022394486,0.6824183181476824,0.3888940770858579,0.0,0.7212333962603519,1
Yelahanka,0.6772900180626074,0.8230534022394486,0.3197725630377828,0.4570760991376201,0.0,0.6164834544719467,1
Yelahanka,0.6052187551127972,0.8230534022394486,0.44927244974523584,0.5702322544284435,0.0,0.6341319130746274,1
Yelahanka,0.8712368132287404,0.8230534022394486,0.7137058589504597,0.2258653392328221,0.0,0.7284698779769089,1
Yelahanka,0.6101966071769863,0.8230534022394486,0.43501535094942956,0.3536018177808674,0.0,0.6005281760407958,1
Yelahanka,0.7708976490590084,0.8230534022394486,0.6251923548195801,0.35015470564905626,0.0,0.694291874653762,1
Yelahanka,0.5725244287473623,0.8230534022394486,0.5063266999945539,0.5306491522385679,0.0,0.6281622835681072,1
Yelahanka,0.6384770045464114,0.8230534022394486,0.4802476353439602,0.4992488007180768,0.0,0.641319819439582,1
Yelahanka,0.9195059988185318,0.8230534022394486,0.5161568743240428,0.21760656692474756,0.0,0.7046154801618414,1
Yelahanka,0.651400313203274,0.8230534022394486,0.546961543072569,0.584124213839633,0.0,0.6719170709834392,1
Yelahanka,0.7811374497915599,0.8230534022394486,0.6109639603731379,0.6368836194311052,0.0,0.7380394630881739,1
Yelahanka,0.6602318116816056,0.8230534022394486,0.6054076149658536,0.6009849321798802,0.0,0.6892264175805493,1
Yelahanka,0.8172348096684585,0.8230534022394486,0.7558618159755562,0.6699445962023577,0.0,0.78461225668126,1
Yelahanka,0.7614551304327547,0.8230534022394486,0.915938072014826,0.24989095976332806,0.0,0.7340965746907631,1
Yelahanka,0.5891389402139022,0.8230534022394486,0.38694329373055425,0.3107158688523985,0.0,0.577110688820671,1
Yelahanka,0.40398292056355817,0.8230534022394486,0.3484088343780848,0.9073634907333494,0.0,0.5940963333546992,1
Yelahanka,0.7818540301770435,0.8230534022394486,0.7539264179074951,0.5662661058094447,0.0,0.7562901306867155,1
Yelahanka,0.677502757092312,0.8230534022394486,0.4797182489502595,0.597544882083589,0.0,0.6696173677567339,1
Yelahanka,0.7203892217642063,0.8230534022394486,0.37336043058571733,0.824289387898817,0.0,0.6973677425912728,1
